goal,arrays_score,strings_score,graphs_score,dp_score,trees_score,backtracking_score,contest_rating,acceptance_rate,problems_solved
Zoho,38,22,40,36,68,63,1767,70.41141188808709,645
Amazon SDE,0,12,0,64,55,59,1624,84.05580746329316,1139
Campus Placement,15,27,62,53,71,85,1993,37.11872180505625,666
Amazon SDE,19,15,81,92,22,67,1661,65.04936588830046,129
Campus Placement,31,59,79,85,32,45,1531,58.48347268361619,840
Campus Placement,1,12,23,21,64,73,993,76.77261559800883,1091
Campus Placement,58,23,93,46,93,71,693,30.002577838538357,1379
TCS,58,67,40,44,23,54,1011,37.51216880719869,750
Zoho,85,95,53,87,86,75,894,32.03900323653901,126
Zoho,4,45,5,24,20,40,1160,38.961329760347674,800
Amazon SDE,65,50,98,19,76,88,1728,68.9364954180812,1160
Google SDE,38,44,57,29,97,92,1080,37.68192834102752,1426
Campus Placement,43,25,88,50,40,5,1261,64.2282078268343,1022
Competitive Programming,40,42,17,70,86,5,1417,77.7513166746127,1091
Competitive Programming,95,78,68,2,84,12,1427,31.904295686446517,643
Interview Preparation,61,79,74,69,21,24,1221,31.47325287340696,522
Campus Placement,74,0,45,79,45,11,1756,84.44165508692954,811
Amazon SDE,25,27,98,76,28,71,1407,67.03010110546299,1129
Competitive Programming,50,80,45,6,52,71,1451,37.73823719583248,1151
Campus Placement,94,15,9,28,22,91,2142,46.86805944529114,569
Google SDE,78,94,81,54,21,85,1921,84.17528343001607,497
Infosys,11,59,22,74,97,2,1405,42.4969115729665,1270
Microsoft,89,15,36,1,7,81,1563,71.40546108204578,906
TCS,46,67,87,87,87,73,1123,43.26501424300924,1305
Infosys,48,42,31,25,43,99,773,51.91571967661658,1222
Infosys,74,23,32,44,8,84,1604,78.4387338460661,713
Competitive Programming,85,26,43,53,30,60,1082,31.56414176829591,1480
Competitive Programming,91,34,71,37,10,28,1569,46.897933766380746,590
Interview Preparation,21,33,44,8,48,97,2044,56.79559896203543,799
Amazon SDE,84,56,14,99,94,74,837,64.40221058047632,870
Zoho,53,84,38,69,51,47,716,31.55329102288463,256
Amazon SDE,73,44,31,53,53,13,1124,52.58690315412629,1109
Infosys,52,12,30,46,66,43,1643,48.93579500477826,163
Microsoft,37,72,67,93,24,96,1775,31.477663105511077,1468
TCS,24,70,13,77,76,98,1642,49.5452240922057,1006
Interview Preparation,13,43,13,47,79,16,1486,81.2428559014084,1119
Microsoft,34,28,50,77,43,67,1405,45.10456435033651,706
Google SDE,72,22,41,77,21,40,1437,62.20752136346553,1318
Competitive Programming,37,61,76,23,12,90,1755,46.39526390531071,1253
Campus Placement,61,81,49,81,18,83,1206,35.86663663468891,1102
Amazon SDE,3,87,30,1,57,70,1412,45.934791402215346,1080
Interview Preparation,78,47,17,95,60,39,1053,55.891752640051415,1018
Zoho,28,61,83,89,91,87,1507,46.291461881554184,103
Infosys,73,4,23,30,20,24,1405,64.32931266347337,967
Campus Placement,32,23,15,20,25,75,2175,82.19987970900738,1021
Competitive Programming,6,84,10,92,40,86,0,33.8099360209401,462
Zoho,80,92,21,77,41,84,1681,69.4352398370882,1237
Interview Preparation,3,32,50,63,50,40,1246,30.069102390187226,921
Amazon SDE,73,9,35,48,80,68,1647,30.05618244777993,227
Competitive Programming,64,20,79,46,60,44,1624,37.31056450906847,483
Interview Preparation,83,17,66,0,6,81,1313,56.396177730650734,441
Zoho,70,29,13,33,89,36,1090,32.64022192031587,350
TCS,8,99,98,31,56,15,1083,69.71834722687711,560
Google SDE,31,32,82,62,57,32,1431,31.61048498175068,1322
TCS,27,51,10,62,23,6,1183,57.24874760996033,1287
Microsoft,91,12,97,51,16,60,1330,67.18542507095304,366
Interview Preparation,61,4,13,38,57,61,1027,43.06528332961226,32
TCS,1,63,65,75,63,73,1552,61.86139754153895,531
TCS,3,49,77,47,13,67,1132,44.39797782312409,1133
Campus Placement,80,5,25,2,3,83,1275,41.77534933772869,811
Interview Preparation,69,83,76,13,79,75,1794,75.01141778938947,1213
TCS,7,36,18,85,19,15,1444,48.310233770435204,1256
Interview Preparation,45,75,77,25,32,81,1626,74.76887618321742,771
Campus Placement,11,11,41,34,48,66,1113,41.93001764782042,451
Infosys,18,57,88,86,17,98,1483,49.572606378472855,778
Infosys,92,57,10,3,27,27,1529,35.64623475128449,1025
Zoho,95,12,34,44,81,6,1110,57.30752135618435,1358
Interview Preparation,27,4,41,25,52,25,1418,50.987686081719076,525
Interview Preparation,4,83,97,52,11,58,1273,30.327614081235595,1049
Microsoft,42,93,39,63,83,28,1481,55.567032023213514,801
Zoho,11,16,3,25,68,71,1003,34.09280500462651,345
Amazon SDE,68,84,47,89,57,87,1085,76.0325825173633,267
Interview Preparation,32,67,96,93,35,8,982,57.153124587986404,506
Infosys,52,85,9,28,62,65,1054,67.95278830879751,905
Microsoft,30,6,44,95,63,89,1212,75.16247975913271,169
Google SDE,24,35,86,60,10,75,1553,32.81478481626391,861
Competitive Programming,6,90,7,13,40,53,1427,48.54587629690132,699
Infosys,24,77,75,92,31,83,1426,31.381480481816762,389
Microsoft,28,78,17,52,0,83,1107,32.72946222833626,966
Microsoft,74,82,66,58,21,88,1393,32.08078481803833,700
Competitive Programming,20,17,3,68,21,27,1776,56.28485976609882,1460
Amazon SDE,55,96,20,29,53,19,1488,54.78729261610943,1301
Microsoft,22,72,59,21,76,65,1643,33.36822453731374,1450
TCS,5,79,72,95,46,68,1248,44.43026564933759,1201
TCS,86,60,43,80,68,33,1256,43.44701575287246,1076
Competitive Programming,73,83,60,93,30,52,1556,46.31383237508234,294
Infosys,34,86,91,5,79,86,1118,65.24193193338584,406
Microsoft,4,37,78,4,29,33,1363,68.33869997229655,21
Zoho,61,63,90,40,89,79,1456,48.64892864175569,1335
Zoho,81,49,67,99,82,60,1282,73.35268507848795,1286
Infosys,84,35,25,85,8,0,1146,52.98230968038105,508
Interview Preparation,78,5,65,46,53,47,1204,58.73214799648345,763
Competitive Programming,75,52,84,22,82,57,986,38.00522802307221,44
Campus Placement,39,75,17,76,68,15,1483,42.80924942362819,736
Interview Preparation,70,58,65,52,9,58,1650,70.01553794814885,858
Interview Preparation,91,54,6,39,96,35,1248,83.73732300858245,99
Infosys,98,21,19,60,88,62,2221,68.7559455596435,785
Interview Preparation,6,36,43,79,7,18,1172,32.980911220214324,614
Competitive Programming,17,79,79,13,55,57,1177,37.85902442602177,979
Microsoft,47,23,77,21,25,82,1630,54.51781980638374,1031
Infosys,83,23,95,67,31,56,1586,70.29150745911173,427
Zoho,89,9,78,80,86,38,1600,39.12628518720318,124
Microsoft,97,93,57,2,11,33,1721,71.2951625125883,626
TCS,77,76,49,66,37,61,1120,60.57096481776265,1229
Competitive Programming,78,9,29,72,31,29,1511,72.5998748318317,835
Campus Placement,79,57,47,37,95,8,980,60.670068776211515,1108
Campus Placement,22,89,70,6,25,78,1719,63.138774785867476,422
Google SDE,97,4,23,12,1,9,1698,43.68108863137259,1409
Campus Placement,83,48,80,95,93,2,1713,69.61043553103053,1453
Amazon SDE,18,18,80,54,38,43,1384,76.42079025387645,738
Infosys,9,51,4,1,98,15,1708,77.92099443003522,1310
Campus Placement,49,80,54,36,4,37,1450,31.619917893968623,1030
Google SDE,33,64,0,76,83,62,1814,64.35287905314041,770
Competitive Programming,50,95,49,92,59,78,1307,84.42460838009698,685
Competitive Programming,71,38,42,76,80,8,1303,62.28036111040891,1427
Infosys,50,0,84,49,22,66,1528,39.41979541407409,466
Campus Placement,84,74,29,19,96,49,1021,78.26844499444856,929
TCS,64,80,67,48,59,5,1329,44.53685281678121,201
TCS,44,21,68,10,39,26,1384,32.475740275866514,748
Competitive Programming,41,77,40,49,75,70,999,53.678488230341344,1132
Google SDE,81,22,20,40,56,55,1429,35.51499813785427,987
Zoho,58,81,19,72,58,14,1548,36.33832577606618,1018
Campus Placement,48,18,19,3,27,96,1650,55.48090310823537,105
Competitive Programming,22,26,36,42,4,23,950,63.697587664175096,672
Zoho,15,17,80,78,85,54,1703,79.79656339123028,1223
Infosys,46,53,72,99,1,23,777,68.78891137068848,46
Microsoft,41,16,95,30,40,18,1127,76.34317333926062,1402
Campus Placement,24,54,22,1,65,86,2012,52.64814279968856,288
Google SDE,68,89,83,11,32,27,1446,47.522543233060006,226
Amazon SDE,74,29,8,84,68,67,1086,62.60621467500271,876
TCS,42,97,89,29,87,47,991,68.25247620846295,882
Zoho,5,79,80,43,82,88,1020,61.253774466830905,1306
TCS,13,52,83,86,37,78,1115,44.5486700648539,71
Interview Preparation,25,80,94,74,28,68,1692,50.33481391361221,605
Amazon SDE,90,9,81,35,71,49,0,54.65675883307492,738
Competitive Programming,13,93,84,24,49,65,1720,30.77835472524164,1375
Microsoft,55,29,90,70,67,84,1082,78.39113319828046,406
Campus Placement,28,25,62,49,70,75,802,58.12755933892636,708
Microsoft,81,70,25,71,88,51,1591,71.30664709697339,1052
TCS,81,68,38,21,57,75,1380,39.45512139308387,186
Campus Placement,77,20,14,35,1,72,1161,60.61540302810901,405
Infosys,56,55,61,2,6,4,1698,80.93721443352061,454
Google SDE,70,7,57,77,71,17,1789,41.78522320602645,1266
Microsoft,91,28,30,26,62,64,1917,49.02209104511108,85
Interview Preparation,4,31,82,99,46,28,1090,51.35777441327794,274
Infosys,48,63,67,89,28,53,1768,51.081698635089296,464
Google SDE,60,87,36,6,60,39,1516,63.03424267903982,727
TCS,48,43,61,36,84,34,1213,51.657363562333614,744
Interview Preparation,78,66,63,54,84,83,1762,67.07299730711858,1417
Zoho,48,55,46,43,88,19,1134,56.65081805649865,860
Google SDE,97,96,70,71,30,94,1211,38.66942596576309,1400
Google SDE,68,67,55,59,90,59,1670,82.17125295093228,153
Zoho,67,10,16,58,32,58,1215,43.1733988896042,894
Campus Placement,16,91,9,51,38,85,1521,60.93584603583255,1102
TCS,0,36,42,3,13,11,1250,33.338172069475334,1132
Campus Placement,60,7,60,1,33,69,1452,80.52419240420653,405
Zoho,9,57,13,16,30,66,1473,81.03978477049137,1058
Amazon SDE,33,1,81,84,47,37,1112,50.049915816938494,957
Zoho,60,5,8,99,69,53,1462,36.65390886165833,900
TCS,49,31,79,83,25,94,1242,72.34912640285563,1184
Infosys,32,99,72,29,92,35,1113,44.42389719232396,1177
Zoho,41,18,10,47,51,57,1065,68.53386005793533,578
Campus Placement,90,17,26,1,31,19,1069,80.3331508416059,1072
Zoho,87,98,93,78,4,38,1218,62.46310586846244,118
Zoho,55,88,13,65,51,65,1572,77.36806310554853,1075
Infosys,91,39,13,26,60,93,990,42.35566487451042,1219
Amazon SDE,82,59,28,20,18,79,1425,80.07369132785911,944
Interview Preparation,53,39,10,88,72,97,1512,42.46545036009769,407
Infosys,65,80,14,92,16,45,1700,42.41900619535757,1256
Zoho,58,65,43,4,37,24,1236,78.3927885668839,643
Zoho,0,21,13,64,64,60,1448,60.51969163072419,1166
Interview Preparation,44,36,90,24,76,63,1053,73.96928876637196,1196
Interview Preparation,24,32,2,24,20,19,1009,74.1368810593226,1248
Infosys,2,19,11,47,13,66,1508,65.58287259705682,742
TCS,70,39,57,10,82,43,2020,40.39905473400127,244
Amazon SDE,88,11,13,96,52,80,1598,68.0651719265772,667
Interview Preparation,78,48,40,18,13,80,1035,33.49990667202712,760
Infosys,56,33,16,17,71,55,1061,41.03674253927818,597
Interview Preparation,67,98,80,6,62,63,1584,65.36015078031568,1042
Google SDE,1,52,97,86,24,55,1616,79.92953882947307,1107
Competitive Programming,5,59,93,3,17,48,1416,72.44310452998914,963
Campus Placement,98,65,86,20,76,36,1336,48.28517671434652,501
Amazon SDE,33,27,35,40,87,21,1556,75.30359793698749,922
Infosys,84,82,24,76,55,93,1090,83.16285107599552,1286
Competitive Programming,58,55,31,90,8,38,1708,48.25726876155932,1263
Amazon SDE,21,51,22,5,89,61,1506,40.27539874530548,1207
Microsoft,51,10,40,76,22,57,1158,40.86329511824246,1201
Amazon SDE,92,42,79,62,97,88,1374,52.017799256454424,179
Zoho,13,47,95,17,12,66,2441,32.87778742758808,1426
Zoho,41,57,42,26,38,82,1311,56.82665394615529,955
Infosys,70,56,73,86,13,71,0,70.27641965967265,804
Infosys,68,13,56,45,60,17,1650,59.17527469006967,643
Google SDE,14,87,33,45,92,73,1457,83.35276355318312,1227
Campus Placement,51,53,32,94,90,37,1279,55.39354382337491,38
Campus Placement,77,1,56,84,85,20,1181,30.7292364828046,1198
Infosys,34,41,27,88,40,97,1347,55.85683950814245,1455
Interview Preparation,60,6,50,44,20,81,1357,81.14351860114348,348
Zoho,91,8,59,42,61,33,1782,35.27237444714602,1398
Competitive Programming,89,32,6,79,42,97,1880,42.26321010933517,1375
Google SDE,69,90,1,49,24,53,1943,69.35575965802994,509
Zoho,47,67,34,79,28,30,1294,46.17553770504888,520
Campus Placement,46,63,47,20,21,79,1714,72.0882505536475,1360
Campus Placement,71,96,6,32,76,97,1483,53.06283306215748,226
Zoho,73,62,76,91,91,98,1076,73.78369186526174,1334
Interview Preparation,45,7,66,29,12,83,954,60.33431145222944,1165
Google SDE,21,58,88,0,85,89,1303,34.535774832527366,1103
Infosys,73,8,70,68,45,66,1357,51.23749401282488,1285
Microsoft,82,11,61,32,90,57,1131,48.32865815335055,1448
Google SDE,31,57,54,74,93,72,1770,74.55446579491465,454
Amazon SDE,13,48,90,71,57,85,1846,64.36830691045341,885
Competitive Programming,23,43,21,94,27,2,1343,72.75704446780183,1215
Google SDE,17,10,27,84,40,76,1859,50.46823674029582,176
Zoho,26,15,4,88,40,33,1527,68.04587926154356,100
Microsoft,17,65,65,17,19,11,811,33.587891290492635,723
Competitive Programming,67,37,47,11,98,58,790,32.019790169739075,48
Campus Placement,28,42,55,11,50,78,1502,45.8107332064786,1159
Zoho,30,66,35,98,7,43,1353,72.5534547464164,1484
Infosys,2,98,23,63,49,43,1120,59.37481123181571,182
TCS,80,72,31,28,31,57,1531,52.48519848793208,662
Google SDE,66,58,85,77,42,49,2056,79.31490456415351,763
Campus Placement,70,99,69,76,60,72,1421,57.35488820213803,1253
Interview Preparation,30,6,86,18,84,77,1272,63.73640290891725,1091
Competitive Programming,90,25,45,83,85,37,1189,84.22057376587404,485
Campus Placement,2,75,77,1,87,89,1044,58.73155837996602,465
Infosys,76,79,54,11,84,47,1644,73.09264380374455,838
Google SDE,17,30,14,43,43,90,1271,52.76040555417083,904
Infosys,85,23,42,73,35,33,1358,31.998723405124366,1394
Amazon SDE,44,64,62,35,67,43,1277,75.89596386187033,1034
Infosys,11,55,61,16,10,54,1881,81.94225266761953,396
Campus Placement,38,62,69,6,7,59,0,53.89101134128332,357
Zoho,49,25,21,99,3,31,1605,57.699994771736044,199
Campus Placement,61,57,87,17,73,15,1661,53.3275845332439,514
Interview Preparation,54,26,77,12,11,30,1178,84.82981991187081,1224
Amazon SDE,18,68,24,76,96,41,1581,79.68485794624675,1402
Zoho,45,37,90,59,36,78,1349,32.26057958583311,1442
Zoho,93,46,60,11,64,37,1644,72.84602686072716,833
Zoho,52,90,37,78,80,92,1109,63.04602095572271,938
Amazon SDE,94,20,50,47,13,85,1480,31.382793707786902,943
Campus Placement,80,78,77,50,97,3,1421,54.45917528522173,1150
Competitive Programming,91,11,84,66,39,93,1562,38.234137124031875,143
Campus Placement,67,74,80,59,90,31,685,78.01762655830372,67
Google SDE,4,24,77,9,23,67,1184,30.69843162268116,694
Zoho,34,67,96,22,81,0,1575,78.02081941885794,681
Google SDE,6,85,57,3,62,35,1925,81.74615317576142,182
Campus Placement,15,42,8,24,15,6,1714,34.01414565723818,824
Zoho,89,50,81,64,50,43,1521,69.59106429008449,1182
Campus Placement,19,90,10,60,15,23,1145,60.189070582309355,89
Infosys,3,88,48,68,57,32,1489,82.48521963207627,895
Microsoft,95,23,92,68,34,78,1575,73.89823245120141,1246
Interview Preparation,72,8,68,46,67,88,1934,68.1927724618138,212
Competitive Programming,2,21,87,26,97,24,1134,80.90303463637304,773
Campus Placement,60,26,52,61,32,77,1286,38.8192352129109,1262
Microsoft,95,60,68,70,86,57,2003,50.67779934280574,1260
TCS,49,87,9,48,73,11,1340,76.36180225616933,1474
Competitive Programming,53,64,1,60,56,75,1547,35.58720014286753,1435
Google SDE,55,64,86,87,74,79,1082,81.44960419932988,56
Zoho,1,13,31,86,67,88,1297,70.98355038562454,1266
TCS,91,92,64,71,91,10,1497,54.16331133713096,1338
Google SDE,68,19,95,29,11,68,1285,48.629675139446555,1176
Infosys,13,96,17,30,16,77,1454,38.11835217391985,1448
Campus Placement,44,44,15,15,68,43,1476,35.15204386942233,1406
Competitive Programming,73,38,15,91,95,92,1421,53.297701842859034,1292
Zoho,43,83,36,64,1,65,1175,76.37041708570709,665
TCS,31,80,54,10,76,51,1648,59.25177957073817,480
Microsoft,46,29,58,61,84,65,1454,54.81318287333694,980
TCS,91,76,54,37,12,49,1200,47.54733851967701,1045
Infosys,0,85,87,86,31,11,1158,38.63224512255053,1363
Zoho,61,63,53,95,40,68,1090,84.45546121607262,745
Infosys,2,72,82,95,19,75,1761,31.415292616043807,793
Interview Preparation,24,91,39,92,58,32,1186,47.14987459547159,977
Zoho,29,22,0,94,0,57,1127,72.31586947657283,367
Campus Placement,99,22,10,58,46,9,1103,58.63069859340095,981
Competitive Programming,57,31,82,18,46,52,803,47.26201954478641,1441
Microsoft,29,80,4,8,86,48,2061,84.60066181315975,677
Campus Placement,14,39,20,95,76,34,1426,64.05433042063643,382
Interview Preparation,94,37,54,94,4,76,1134,46.23356807358623,1041
Amazon SDE,42,61,19,68,98,48,1296,76.63742287608974,1155
Amazon SDE,88,42,81,22,3,9,1023,38.25902834720994,1381
Campus Placement,22,91,97,54,92,56,1455,55.49657411505313,685
Google SDE,89,84,22,84,65,62,1354,76.17738379366271,99
Competitive Programming,63,53,82,19,47,78,1734,84.1011928799489,707
Infosys,58,40,9,12,53,62,1190,51.068167586791944,1349
Google SDE,49,51,47,56,2,37,1508,37.59603123416524,1211
Zoho,21,54,44,19,21,72,1405,61.181123603351054,549
Campus Placement,15,93,33,46,77,60,1142,81.91961709797093,741
Competitive Programming,80,44,60,76,76,89,1507,66.60864549201813,878
TCS,26,82,63,6,1,65,1375,63.11877466332132,50
Google SDE,16,45,42,33,54,33,1698,47.011058726310594,749
Google SDE,80,49,84,55,72,21,1520,63.348690090870925,511
Zoho,83,50,63,52,15,75,1256,78.65728986080555,968
Microsoft,1,86,39,52,11,16,1666,50.65392938361323,1178
Campus Placement,35,69,43,80,55,81,1486,43.31295096693901,1234
TCS,22,18,78,62,49,84,1243,56.45266645927593,938
TCS,91,67,21,29,65,85,0,50.69032868783776,470
Competitive Programming,89,48,16,67,96,84,1660,55.84592964248161,741
Amazon SDE,44,22,41,3,84,98,1128,35.26513020318648,761
Infosys,50,4,6,36,78,88,1181,48.49154996789509,934
Infosys,75,63,63,38,77,99,1437,75.46012937918096,918
Zoho,80,32,51,35,10,12,1293,52.017661006788146,1286
Campus Placement,40,75,24,14,17,82,1303,83.23423055859291,399
Interview Preparation,91,99,57,85,50,14,1161,68.98646461595825,892
Interview Preparation,10,58,21,74,88,73,1451,50.13201225991819,265
Competitive Programming,10,51,73,35,71,70,1466,43.84150286829657,718
Amazon SDE,78,92,54,95,65,87,970,67.69523929007342,459
Interview Preparation,25,77,49,18,83,12,1284,46.63455694881071,19
Zoho,28,6,45,15,56,90,1231,80.97910509217766,833
Microsoft,25,42,15,73,25,62,1483,36.39847347573147,807
Google SDE,22,47,76,80,73,6,1571,31.580718401438695,1275
Zoho,74,41,42,42,71,69,1617,42.15647264986099,1284
Campus Placement,3,61,34,5,93,79,1288,63.364052331566675,886
Amazon SDE,73,19,57,96,5,68,1560,75.9229101139673,1038
Google SDE,60,36,29,83,97,36,949,39.35704384690938,1152
Amazon SDE,32,77,48,13,55,76,1799,62.15975724535297,1025
Infosys,54,97,68,27,46,25,1191,37.928420499171345,383
Campus Placement,67,40,38,5,79,46,995,60.97482565818058,1098
Competitive Programming,99,40,60,18,18,16,1193,31.00002529617564,155
Google SDE,7,86,69,5,2,74,1833,60.67938986304621,233
Amazon SDE,85,4,83,4,12,77,1590,58.69767108808388,1272
Google SDE,20,32,38,65,81,54,1937,32.3566366593638,186
Competitive Programming,93,47,5,47,40,21,1490,67.91792901383782,862
TCS,59,43,4,69,40,38,1807,61.4740003458129,1315
Infosys,93,73,6,13,6,94,1292,64.27035034785287,72
Zoho,15,9,78,77,21,98,1007,59.13756705841559,1250
Microsoft,45,60,81,93,30,40,1509,69.70964921805226,836
Interview Preparation,65,10,26,44,82,98,1422,58.875212537270144,804
TCS,22,57,22,39,18,45,1550,80.72483729096984,698
Campus Placement,33,82,92,87,46,92,1649,81.89301331301908,1494
Campus Placement,63,50,87,29,14,28,1520,69.96715203820654,114
Campus Placement,93,98,88,74,71,91,1371,80.14690987155336,1132
Competitive Programming,63,14,83,77,92,19,1385,80.77351520786122,520
Microsoft,27,90,45,21,55,68,1544,44.40991550535603,394
Amazon SDE,4,4,20,2,49,57,960,84.66613229382163,414
Zoho,34,60,39,28,16,27,1189,44.709025589751434,832
Amazon SDE,8,12,65,47,33,30,2029,31.01965644609543,527
Zoho,37,44,47,7,41,85,1256,82.92237298564174,485
Google SDE,82,22,48,48,84,63,1603,42.30449231771203,718
Competitive Programming,40,15,41,6,28,91,1281,62.12664747943566,780
Infosys,59,35,45,23,71,26,1338,83.3867486611243,1470
TCS,6,9,83,4,5,89,748,32.71977174257371,1056
Google SDE,61,95,10,83,67,25,1587,44.812157451031865,1006
Microsoft,25,44,65,63,23,49,1238,63.485318493200545,686
Interview Preparation,77,2,60,4,19,26,790,71.94069311207289,723
TCS,95,36,14,48,82,91,978,74.40515457685683,1491
Google SDE,38,7,25,69,80,37,1432,78.6114957474273,92
Amazon SDE,29,0,2,91,51,18,1193,39.263981401496686,1178
TCS,73,82,17,14,87,6,1156,50.35205319659709,1118
